Tienda,cluster,latitude,longitude,Nombre Tienda,Region
20000555,7,3.4606356,-76.4797188,tienda mixta punto com,region cali
20000556,0,3.462801,-76.4799913,panaderia krakeñas,region cali
20000558,8,3.4587533,-76.48048659999998,miscelania la 73,region cali
20000561,2,3.4534122000000003,-76.48400749999998,tienda lina,region cali
20000562,0,3.4570153,-76.4856295,tienda mixta,region cali
20000565,0,3.4653374,-76.48379969999998,tienda mixta nancy,region cali
20000566,0,3.4528222,-76.4790671,tienda emmanuel,region cali
20000567,0,3.4543351,-76.48127530000002,tienda mary,region cali
20000568,5,3.4548616,-76.48185600000002,tienda mixta jorge gonzales,region cali
20000569,0,3.4524211000000005,-76.4795463,tienda mixta,region cali
20000571,3,3.4640896,-76.47938870000002,tienda mixta,region cali
20000572,0,3.4560246,-76.4800083,tienda la deportiva,region cali
20000573,7,3.4553022000000007,-76.4833732,licores mariela,region cali
20000574,8,3.4546063,-76.48426059999998,tienda mixta fruver,region cali
20000576,2,3.452307,-76.4799671,tienda luz dary,region cali
20000584,2,3.4449899,-76.4920638,variedades y licores nueva base,region cali
20000587,0,3.4478877,-76.4907015,tienda lisao,region cali
20000588,0,3.4502722,-76.4941977,tienda el niño,region cali
20000589,0,3.4478611000000003,-76.49444040000002,tienda mixta ofelia,region cali
20000590,8,3.4471925000000003,-76.4956186,merca tienda el ahorro,region cali
20000591,0,3.4740729,-76.4999773,tienda variedades j.h.c,region cali
20000592,7,3.4478307,-76.4952579,tienda la guadeña,region cali
20000594,1,3.4496295,-76.49681159999999,rapitienda el progreso,region cali
20000595,0,3.4510604,-76.4958055,tienda la antioqueña,region cali
20000597,5,3.4795480000000003,-76.500338,tienda chiqui,region cali
20000598,0,3.445913200000001,-76.4953854,tienda el reflejo,region cali
20000599,0,3.4495597,-76.50156179999998,tienda mixta,region cali
20000602,7,3.4471865,-76.50153359999999,tienda elena,region cali
20000606,2,3.4512642,-76.4997204,tienda multi servicio,region cali
20000607,0,3.4495949,-76.5020814,tienda martha,region cali
20000610,2,3.4490875,-76.49758949999998,maxitienda camila,region cali
20000611,0,3.4498902,-76.4978819,tienda la 53,region cali
20000613,0,3.4481708,-76.49799879999998,tienda gille,region cali
20000615,5,3.4436435,-76.53654019999998,tienda mixta janeth,region cali
20000617,0,3.4677943,-76.48243269999998,tienda jhon alex,region cali
20000618,2,3.4660972,-76.4842018,tienda emily,region cali
20000620,0,3.4392615,-76.4973047,tienda mixta hoyos,region cali
20000624,8,3.4395128,-76.49589920000003,economarket,region cali
20000628,0,3.4369726000000003,-76.49549520000002,tienda mixta,region cali
20000630,0,3.4363365,-76.4959768,tienda mixta,region cali
20000631,5,3.4369726000000003,-76.49549520000002,tienda d'todito,region cali
20000632,2,3.4384598,-76.5392171,tienda mixta rubi,region cali
20000634,2,3.4357212,-76.4968698,tienda caliche,region cali
